"term","estimate","conf.low","conf.high","p.value"
"(Intercept)",53.4246468579693,42.7266270367321,66.8249629574299,5.3087063783399e-191
"FO.high",0.625618191769308,0.437149645178637,0.894901897334457,0.0109452617360497
"cSVDtrans",1.01426652653126,0.983662404140335,1.04580058810113,0.367430558233077
"age",1.01646610242014,1.01390097465974,1.01903249323815,4.82399381255404e-35
"sex1",0.991155413966185,0.951828132939611,1.03218179352442,0.668494335362863
"educationyears",0.972199738431143,0.965727092151154,0.978751971948113,3.99350017439538e-15
"yzero",0.975090432994265,0.919201204628645,1.03460791623216,0.402506908233295
