"term","estimate","conf.low","conf.high","p.value"
"(Intercept)",0.239499017566105,0.208993111745785,0.274457750956409,6.3272034983591e-94
"cSVDtrans",0.939358257190554,0.918464866960873,0.960726933706072,5.00722359188783e-08
"I(age/10)",1.0354829627074,1.01419505945347,1.05721769797921,0.00100225869347893
"sex1",1.12262131279263,1.08927747026867,1.15698584275814,5.53287496877403e-14
"yzero",0.926370280244124,0.750166322089209,1.14396217325459,0.477394525492417
